Dte.;Nom Dte.;Barri;AEB;Any;Població;Naixements Total;Naixements Nens;Naixements Nenes;Defuncions Total;Defuncions Homes;Defuncions Dones;% Població sense estudis;% Població amb estudis obligatoris;% Població amb batxillerat superior o CFGM;% Població amb estudis universitaris o CFGS
1;Ciutat Vella;1. el Raval;-1;2016;47129,0;;;;;;;2,5;55,1;18,0;22,7
1;Ciutat Vella;2. el Barri Gòtic;-1;2016;15614,0;;;;;;;2,3;34,9;23,9;38,1
1;Ciutat Vella;3. la Barceloneta;-1;2016;15021,0;;;;;;;4,7;48,1;20,5;25,6
1;Ciutat Vella;4. Sant Pere, Santa Caterina i la Ribera;-1;2016;22306,0;;;;;;;2,5;35,9;22,6;37,7
2;Eixample;5. el Fort Pienc;-1;2016;31653,0;;;;;;;1,9;32,5;27,2;37,0
2;Eixample;6. la Sagrada Família;-1;2016;51322,0;;;;;;;2,5;34,9;26,4;35,0
2;Eixample;7. la Dreta de l'Eixample;-1;2016;43644,0;;;;;;;1,3;21,6;26,2;49,5
2;Eixample;8. l'Antiga Esquerra de l'Eixample;-1;2016;41854,0;;;;;;;1,6;24,5;27,3;45,4
2;Eixample;9. la Nova Esquerra de l'Eixample;-1;2016;57648,0;;;;;;;1,7;29,7;27,3;40,1
2;Eixample;10. Sant Antoni;-1;2016;38184,0;;;;;;;2,5;36,2;26,0;34,0
3;Sants-Montjuïc;11. el Poble Sec - AEI Parc Montjuïc;-1;2016;40055,0;;;;;;;3,2;49,3;22,0;24,0
3;Sants-Montjuïc;12. la Marina del Prat Vermell - AEI Zona Franca;-1;2016;1143,0;;;;;;;6,5;75,4;11,2;5,2
3;Sants-Montjuïc;13. la Marina de Port;-1;2016;30385,0;;;;;;;4,1;56,9;23,1;14,0
3;Sants-Montjuïc;14. la Font de la Guatlla;-1;2016;10302,0;;;;;;;3,4;41,4;25,3;28,4
3;Sants-Montjuïc;15. Hostafrancs;-1;2016;15889,0;;;;;;;2,9;43,5;24,0;28,3
3;Sants-Montjuïc;16. la Bordeta;-1;2016;18512,0;;;;;;;3,6;47,0;25,9;22,2
3;Sants-Montjuïc;17. Sants - Badal;-1;2016;23906,0;;;;;;;3,8;46,6;24,5;23,7
3;Sants-Montjuïc;18. Sants;-1;2016;40785,0;;;;;;;3,1;39,9;25,2;30,5
4;Les Corts;19. les Corts;-1;2016;45932,0;;;;;;;1,9;28,1;27,7;41,0
4;Les Corts;20. la Maternitat i Sant Ramon;-1;2016;23848,0;;;;;;;2,6;32,1;27,0;37,0
4;Les Corts;21. Pedralbes;-1;2016;11862,0;;;;;;;0,5;17,7;28,5;50,9
5;Sarrià-Sant Gervasi;22. Vallvidrera, el Tibidabo i les Planes;-1;2016;4632,0;;;;;;;1,9;25,4;28,8;41,2
5;Sarrià-Sant Gervasi;23. Sarrià;-1;2016;24799,0;;;;;;;1,1;19,5;27,7;49,4
5;Sarrià-Sant Gervasi;24. les Tres Torres;-1;2016;16473,0;;;;;;;0,5;14,9;30,6;51,7
5;Sarrià-Sant Gervasi;25. Sant Gervasi - la Bonanova;-1;2016;25665,0;;;;;;;0,8;18,7;30,5;48,2
5;Sarrià-Sant Gervasi;26. Sant Gervasi - Galvany;-1;2016;47089,0;;;;;;;0,6;17,3;29,9;50,2
5;Sarrià-Sant Gervasi;27. el Putxet i el Farró;-1;2016;29368,0;;;;;;;1,0;19,8;29,4;48,0
6;Gràcia;28. Vallcarca i els Penitents;-1;2016;15591,0;;;;;;;2,3;30,1;27,6;38,6
6;Gràcia;29. el Coll;-1;2016;7391,0;;;;;;;3,1;39,4;27,2;28,9
6;Gràcia;30. la Salut;-1;2016;13118,0;;;;;;;1,9;29,7;27,8;39,2
6;Gràcia;31. la Vila de Gràcia;-1;2016;50584,0;;;;;;;2,2;29,0;25,2;42,5
6;Gràcia;32. el Camp d'en Grassot i Gràcia Nova;-1;2016;34234,0;;;;;;;2,1;30,4;27,6;38,7
7;Horta-Guinardó;33. el Baix Guinardó;-1;2016;25547,0;;;;;;;3,4;37,4;27,7;30,1
7;Horta-Guinardó;34. Can Baró;-1;2016;8965,0;;;;;;;4,2;44,1;25,0;25,2
7;Horta-Guinardó;35. el Guinardó;-1;2016;36136,0;;;;;;;3,0;39,6;28,2;27,9
7;Horta-Guinardó;36. la Font d'en Fargues;-1;2016;9400,0;;;;;;;2,6;37,6;28,4;29,6
7;Horta-Guinardó;37. el Carmel;-1;2016;31355,0;;;;;;;6,4;59,2;21,0;11,6
7;Horta-Guinardó;38. la Teixonera;-1;2016;11277,0;;;;;;;5,3;54,9;23,1;15,2
7;Horta-Guinardó;39. Sant Genís dels Agudells;-1;2016;6725,0;;;;;;;6,6;49,3;23,7;18,6
7;Horta-Guinardó;40. Montbau;-1;2016;5053,0;;;;;;;7,2;43,1;25,4;22,8
7;Horta-Guinardó;41. la Vall d'Hebron;-1;2016;5686,0;;;;;;;2,9;39,2;26,7;29,2
7;Horta-Guinardó;42. la Clota;-1;2016;583,0;;;;;;;4,4;45,2;22,1;26,3
7;Horta-Guinardó;43. Horta;-1;2016;26541,0;;;;;;;4,8;46,2;26,2;21,4
8;Nou Barris;44. Vilapicina i la Torre Llobeta;-1;2016;25508,0;;;;;;;4,3;47,4;25,7;21,3
8;Nou Barris;45. Porta;-1;2016;24519,0;;;;;;;5,8;52,9;23,8;16,0
8;Nou Barris;46. el Turó de la Peira;-1;2016;15364,0;;;;;;;6,9;55,7;22,8;12,9
8;Nou Barris;47. Can Peguera;-1;2016;2258,0;;;;;;;6,3;65,6;17,6;8,0
8;Nou Barris;48. la Guineueta;-1;2016;15043,0;;;;;;;5,2;51,5;24,5;17,3
8;Nou Barris;49. Canyelles;-1;2016;6923,0;;;;;;;5,4;62,4;19,0;11,4
8;Nou Barris;50. les Roquetes;-1;2016;15398,0;;;;;;;6,0;66,6;17,4;7,9
8;Nou Barris;51. Verdun;-1;2016;12260,0;;;;;;;6,6;61,6;19,5;10,5
8;Nou Barris;52. la Prosperitat;-1;2016;26167,0;;;;;;;7,1;59,0;21,0;11,3
8;Nou Barris;53. la Trinitat Nova;-1;2016;7257,0;;;;;;;7,2;67,2;16,5;6,9
8;Nou Barris;54. Torre Baró;-1;2016;2791,0;;;;;;;4,9;69,7;14,6;8,0
8;Nou Barris;55. Ciutat Meridiana;-1;2016;10041,0;;;;;;;4,4;71,4;15,8;6,2
8;Nou Barris;56. Vallbona;-1;2016;1352,0;;;;;;;6,9;69,2;12,9;8,2
9;Sant Andreu;57. la Trinitat Vella;-1;2016;10032,0;;;;;;;4,5;66,6;17,6;9,1
9;Sant Andreu;58. Baró de Viver;-1;2016;2507,0;;;;;;;5,1;72,8;14,3;5,1
9;Sant Andreu;59. el Bon Pastor;-1;2016;12589,0;;;;;;;4,3;61,3;20,1;12,4
9;Sant Andreu;60. Sant Andreu;-1;2016;56683,0;;;;;;;3,0;44,7;27,6;23,4
9;Sant Andreu;61. la Sagrera;-1;2016;28796,0;;;;;;;3,1;45,9;27,2;22,3
9;Sant Andreu;62. el Congrés i els Indians;-1;2016;14044,0;;;;;;;4,1;43,5;27,3;23,5
9;Sant Andreu;63. Navas;-1;2016;22080,0;;;;;;;3,0;43,5;28,0;24,1
10;Sant Martí;64. el Camp de l'Arpa del Clot;-1;2016;38104,0;;;;;;;2,8;40,8;27,0;28,1
10;Sant Martí;65. el Clot;-1;2016;26898,0;;;;;;;2,7;43,5;26,9;25,3
10;Sant Martí;66. el Parc i la Llacuna del Poblenou;-1;2016;14838,0;;;;;;;2,4;37,4;26,2;32,7
10;Sant Martí;67. la Vila Olímpica del Poblenou;-1;2016;9335,0;;;;;;;0,8;19,4;25,2;52,4
10;Sant Martí;68. el Poblenou;-1;2016;33586,0;;;;;;;3,0;38,6;25,8;31,2
10;Sant Martí;69. Diagonal Mar i el Front Marítim del Poblenou;-1;2016;13397,0;;;;;;;2,7;31,1;25,3;39,3
10;Sant Martí;70. el Besòs i el Maresme;-1;2016;22746,0;;;;;;;6,2;63,2;18,3;10,4
10;Sant Martí;71. Provençals del Poblenou;-1;2016;20369,0;;;;;;;3,5;46,7;25,8;22,5
10;Sant Martí;72. Sant Martí de Provençals;-1;2016;26010,0;;;;;;;4,5;51,3;24,8;18,0
10;Sant Martí;73. la Verneda i la Pau;-1;2016;28645,0;;;;;;;5,7;57,5;22,6;12,6
1;Ciutat Vella;1. el Raval;-1;2015;47142,0;431,0;224,0;207,0;331,0;184,0;147,0;3,2;57,4;17,5;21,9
1;Ciutat Vella;2. el Barri Gòtic;-1;2015;15484,0;100,0;48,0;52,0;142,0;70,0;72,0;2,8;36,2;23,2;37,8
1;Ciutat Vella;3. la Barceloneta;-1;2015;15032,0;99,0;53,0;46,0;188,0;89,0;99,0;5,8;49,4;19,8;24,9
1;Ciutat Vella;4. Sant Pere, Santa Caterina i la Ribera;-1;2015;22457,0;166,0;90,0;76,0;169,0;91,0;78,0;3,3;37,6;21,7;37,4
2;Eixample;5. el Fort Pienc;-1;2015;31543,0;239,0;141,0;98,0;308,0;133,0;175,0;3,1;33,5;26,9;36,4
2;Eixample;6. la Sagrada Família;-1;2015;51097,0;393,0;196,0;197,0;539,0;234,0;305,0;3,6;35,9;26,3;34,1
2;Eixample;7. la Dreta de l'Eixample;-1;2015;43556,0;395,0;209,0;186,0;495,0;185,0;310,0;2,4;22,5;25,9;49,2
2;Eixample;8. l'Antiga Esquerra de l'Eixample;-1;2015;41664,0;336,0;184,0;152,0;436,0;190,0;246,0;2,6;25,2;26,8;45,4
2;Eixample;9. la Nova Esquerra de l'Eixample;-1;2015;57665,0;447,0;234,0;213,0;591,0;274,0;317,0;2,7;30,9;27,3;39,1
2;Eixample;10. Sant Antoni;-1;2015;38033,0;333,0;166,0;167,0;361,0;142,0;219,0;3,6;37,2;25,7;33,4
3;Sants-Montjuïc;11. el Poble Sec - AEI Parc Montjuïc;-1;2015;40208,0;355,0;185,0;170,0;358,0;166,0;192,0;4,2;50,8;21,5;23,5
3;Sants-Montjuïc;12. la Marina del Prat Vermell - AEI Zona Franca;-1;2015;1125,0;13,0;5,0;8,0;16,0;6,0;10,0;7,8;77,1;10,9;4,2
3;Sants-Montjuïc;13. la Marina de Port;-1;2015;30232,0;244,0;122,0;122,0;253,0;124,0;129,0;5,7;58,0;23,3;13,0
3;Sants-Montjuïc;14. la Font de la Guatlla;-1;2015;10366,0;63,0;36,0;27,0;123,0;55,0;68,0;4,4;42,8;25,3;27,4
3;Sants-Montjuïc;15. Hostafrancs;-1;2015;15747,0;106,0;44,0;62,0;142,0;63,0;79,0;3,8;45,3;23,9;27,0
3;Sants-Montjuïc;16. la Bordeta;-1;2015;18378,0;168,0;79,0;89,0;189,0;88,0;101,0;4,7;47,9;26,5;20,8
3;Sants-Montjuïc;17. Sants - Badal;-1;2015;24014,0;183,0;93,0;90,0;218,0;105,0;113,0;4,9;48,1;24,4;22,6
3;Sants-Montjuïc;18. Sants;-1;2015;40687,0;345,0;169,0;176,0;391,0;188,0;203,0;4,1;41,0;25,2;29,6
4;Les Corts;19. les Corts;-1;2015;46,0;386,0;211,0;175,0;467,0;193,0;274,0;3,0;28,9;27,8;40,3
4;Les Corts;20. la Maternitat i Sant Ramon;-1;2015;23817,0;198,0;91,0;107,0;211,0;96,0;115,0;3,8;33,0;27,0;36,1
4;Les Corts;21. Pedralbes;-1;2015;11713,0;77,0;29,0;48,0;91,0;52,0;39,0;1,7;19,3;28,2;50,7
5;Sarrià-Sant Gervasi;22. Vallvidrera, el Tibidabo i les Planes;-1;2015;4602,0;44,0;29,0;15,0;49,0;19,0;30,0;3,6;26,7;27,0;42,6
5;Sarrià-Sant Gervasi;23. Sarrià;-1;2015;24641,0;225,0;108,0;117,0;258,0;105,0;153,0;2,6;20,7;26,4;50,2
5;Sarrià-Sant Gervasi;24. les Tres Torres;-1;2015;16498,0;139,0;74,0;65,0;133,0;58,0;75,0;2,1;16,3;29,9;51,7
5;Sarrià-Sant Gervasi;25. Sant Gervasi - la Bonanova;-1;2015;25246,0;210,0;112,0;98,0;253,0;121,0;132,0;2,2;19,7;29,3;48,7
5;Sarrià-Sant Gervasi;26. Sant Gervasi - Galvany;-1;2015;46708,0;411,0;192,0;219,0;466,0;217,0;249,0;2,1;18,4;28,9;50,6
5;Sarrià-Sant Gervasi;27. el Putxet i el Farró;-1;2015;29139,0;284,0;143,0;141,0;242,0;103,0;139,0;2,3;20,9;28,7;48,1
6;Gràcia;28. Vallcarca i els Penitents;-1;2015;15492,0;136,0;67,0;69,0;140,0;61,0;79,0;3,4;31,0;27,0;38,6
6;Gràcia;29. el Coll;-1;2015;7349,0;58,0;36,0;22,0;59,0;30,0;29,0;4,1;40,0;26,8;28,9
6;Gràcia;30. la Salut;-1;2015;13227,0;84,0;39,0;45,0;148,0;61,0;87,0;3,2;30,4;27,3;39,1
6;Gràcia;31. la Vila de Gràcia;-1;2015;50415,0;490,0;234,0;256,0;541,0;227,0;314,0;3,2;29,8;24,1;43,0
6;Gràcia;32. el Camp d'en Grassot i Gràcia Nova;-1;2015;33918,0;276,0;143,0;133,0;341,0;156,0;185,0;3,1;31,3;27,2;38,4
7;Horta-Guinardó;33. el Baix Guinardó;-1;2015;25466,0;193,0;97,0;96,0;315,0;123,0;192,0;4,5;38,5;27,6;29,3
7;Horta-Guinardó;34. Can Baró;-1;2015;8819,0;51,0;27,0;24,0;80,0;38,0;42,0;5,6;45,1;25,0;24,2
7;Horta-Guinardó;35. el Guinardó;-1;2015;35773,0;322,0;172,0;150,0;362,0;173,0;189,0;4,3;40,3;27,9;27,4
7;Horta-Guinardó;36. la Font d'en Fargues;-1;2015;9407,0;77,0;43,0;34,0;98,0;40,0;58,0;4,4;38,1;28,1;29,3
7;Horta-Guinardó;37. el Carmel;-1;2015;31456,0;246,0;142,0;104,0;272,0;138,0;134,0;7,9;60,3;20,8;11,0
7;Horta-Guinardó;38. la Teixonera;-1;2015;11361,0;85,0;45,0;40,0;112,0;59,0;53,0;6,7;55,8;23,1;14,3
