Dte.;Barri;2009 Total;2009 Homes;2009 Dones;2010 Total;2010 Homes;2010 Dones;2011 Total;2011 Homes;2011 Dones;2012 Total;2012 Homes;2012 Dones;2013 Total;2013 Homes;2013 Dones;2014 Total;2014 Homes;2014 Dones;2015 Total;2015 Homes;2015 Dones
3;65;75;35;40;103;47;56;102;46;56;126;47;79;123;59;64;115;45;70;123;55;68  
3;66;59;27;32;57;32;25;64;36;28;70;39;31;54;26;28;58;32;26;60;24;36  
3;67;82;35;47;66;31;35;80;39;41;83;42;41;76;40;36;82;44;38;82;39;43  
3;68;86;45;41;79;27;52;93;37;56;95;44;51;89;42;47;86;38;48;97;36;61  
3;69;80;43;37;77;35;42;90;46;44;94;48;46;76;41;35;83;44;39;92;52;40  
3;70;147;77;70;136;68;68;131;65;66;149;73;76;154;82;72;119;61;58;151;70;81  
3;71;72;32;40;58;23;35;54;28;26;62;31;31;48;19;29;53;27;26;67;35;32  
3;72;109;46;63;104;49;55;92;39;53;120;55;65;109;47;62;104;48;56;111;50;61  
3;73;92;39;53;74;42;32;84;38;46;69;33;36;80;34;46;76;34;42;67;36;31  
3;74;52;23;29;67;42;25;58;25;33;57;29;28;63;25;38;52;27;25;52;33;19  
3;75;33;22;11;21;10;11;30;17;13;25;13;12;26;13;13;29;13;16;26;11;15  
3;76;109;43;66;116;47;69;125;52;73;119;55;64;124;44;80;108;54;54;135;58;77  
4;77;127;58;69;135;64;71;125;53;72;122;56;66;112;56;56;99;43;56;106;38;68  
4;78;95;42;53;82;32;50;88;36;52;83;34;49;95;53;42;93;40;53;86;32;54  
4;79;60;29;31;70;29;41;57;29;28;65;33;32;69;35;34;70;28;42;70;30;40  
4;80;12;6;6;12;7;5;14;10;4;12;8;4;8;5;3;7;5;2;16;6;10  
4;81;9;4;5;9;7;2;11;6;5;16;10;6;14;9;5;11;8;3;16;7;9  
4;82;33;16;17;34;15;19;31;19;12;38;17;21;34;16;18;45;18;27;32;11;21  
4;83;58;34;24;52;36;16;51;29;22;50;25;25;40;21;19;41;19;22;61;34;27  
4;84;56;32;24;59;26;33;54;22;32;62;30;32;47;19;28;56;24;32;80;35;45  
4;85;88;48;40;111;57;54;78;35;43;98;50;48;102;57;45;102;58;44;103;46;57  
4;86;65;35;30;59;25;34;71;39;32;65;32;33;60;27;33;67;34;33;64;27;37  
4;87;25;11;14;27;20;7;30;15;15;28;12;16;32;10;22;40;24;16;44;23;21  
4;88;37;19;18;52;24;28;46;26;20;52;26;26;52;27;25;63;30;33;52;33;19  
4;89;15;6;9;22;11;11;18;7;11;24;14;10;16;9;7;20;8;12;10;6;4  
4;90;22;7;15;27;15;12;24;11;13;29;12;17;28;12;16;24;6;18;29;13;16  
5;91;8;6;2;4;0;4;6;4;2;12;6;6;11;9;2;9;4;5;5;1;4  
5;92;42;18;24;45;16;29;41;12;29;46;17;29;29;14;15;42;11;31;44;18;26  
5;93;30;10;20;27;10;17;43;8;35;46;10;36;48;10;38;46;12;34;60;13;47  
5;94;11;8;3;17;11;6;19;7;12;20;11;9;21;8;13;8;4;4;20;6;14  
5;95;121;49;72;83;33;50;99;42;57;107;50;57;92;37;55;101;35;66;87;36;51  
5;96;62;25;37;77;39;38;98;46;52;86;45;41;76;29;47;74;30;44;91;50;41  
5;97;13;5;8;15;8;7;12;6;6;19;9;10;15;9;6;21;11;10;19;8;11  
5;98;39;18;21;42;13;29;31;13;18;47;17;30;49;23;26;42;18;24;48;21;27  
5;99;59;30;29;59;35;24;58;32;26;51;27;24;52;28;24;62;31;31;66;29;37  
5;100;43;18;25;37;14;23;34;10;24;38;19;19;40;16;24;47;24;23;54;22;32  
5;101;49;16;33;37;8;29;41;10;31;37;11;26;36;12;24;29;9;20;32;15;17  
5;102;77;38;39;70;39;31;75;34;41;88;46;42;64;27;37;87;47;40;81;39;42  
5;103;100;39;61;95;46;49;78;38;40;100;47;53;96;48;48;88;33;55;86;45;41  
5;104;46;24;22;54;27;27;51;24;27;53;18;35;47;19;28;49;25;24;48;20;28  
5;105;25;11;14;43;23;20;28;13;15;47;20;27;42;23;19;36;17;19;37;17;20  
5;106;66;29;37;68;29;39;76;37;39;90;43;47;63;34;29;64;30;34;86;47;39  
5;107;84;35;49;89;39;50;84;38;46;84;44;40;73;32;41;77;30;47;87;34;53  
5;108;62;27;35;58;27;31;54;21;33;50;17;33;64;30;34;61;29;32;52;23;29  
5;109;73;37;36;71;26;45;65;33;32;96;38;58;69;18;51;64;32;32;76;35;41  
5;110;82;38;44;77;43;34;73;27;46;78;35;43;77;24;53;82;40;42;80;41;39  
5;111;100;50;50;102;48;54;84;45;39;105;44;61;101;49;52;92;44;48;94;42;52  
5;112;71;31;40;66;25;41;78;30;48;79;29;50;65;23;42;83;38;45;75;31;44  
5;113;65;34;31;67;22;45;74;40;34;74;34;40;84;36;48;67;34;33;73;30;43  
6;114;62;21;41;63;28;35;59;28;31;55;22;33;70;35;35;66;23;43;52;20;32  
6;115;40;20;20;41;17;24;49;25;24;36;16;20;44;15;29;41;21;20;46;17;29  
6;116;13;7;6;10;5;5;13;6;7;13;7;6;19;10;9;17;7;10;17;12;5  
6;117;34;16;18;30;12;18;24;11;13;36;17;19;25;11;14;29;13;16;25;12;13  
6;118;56;27;29;60;35;25;53;30;23;56;31;25;51;24;27;45;25;20;59;30;29  
6;119;40;20;20;53;23;30;38;20;18;35;17;18;51;28;23;50;19;31;58;24;34  
6;120;68;33;35;75;30;45;67;28;39;93;47;46;86;43;43;81;35;46;90;37;53  
6;121;62;31;31;61;24;37;61;27;34;75;32;43;63;29;34;56;27;29;58;23;35  
6;122;61;26;35;43;24;19;49;14;35;55;22;33;66;23;43;62;26;36;68;27;41  
6;123;63;26;37;40;18;22;42;20;22;41;17;24;49;19;30;52;17;35;54;20;34  
6;124;57;24;33;48;19;29;45;18;27;46;15;31;47;18;29;47;21;26;51;21;30  
6;125;29;16;13;22;14;8;22;10;12;17;7;10;24;15;9;26;11;15;37;16;21  
6;126;76;35;41;47;23;24;59;28;31;57;26;31;51;16;35;46;24;22;56;30;26  
6;127;43;18;25;34;12;22;36;14;22;31;15;16;25;9;16;28;9;19;36;14;22  
6;128;33;15;18;51;17;34;40;21;19;46;16;30;41;14;27;44;14;30;40;17;23  
6;129;99;42;57;96;33;63;94;44;50;83;37;46;76;38;38;80;41;39;92;37;55  
6;130;57;26;31;58;29;29;60;29;31;64;23;41;53;27;26;47;22;25;49;22;27  
6;131;96;50;46;95;44;51;89;27;62;130;53;77;116;51;65;119;53;66;113;45;68  
6;132;61;25;36;68;29;39;67;27;40;71;31;40;62;30;32;80;36;44;73;37;36  
6;133;57;22;35;46;17;29;56;27;29;48;24;24;60;33;27;55;22;33;59;29;30  
6;134;103;61;42;91;51;40;74;39;35;94;37;57;102;50;52;91;50;41;96;45;51  
7;135;126;51;75;149;61;88;186;76;110;178;68;110;192;85;107;183;68;115;172;56;116  
7;136;56;23;33;63;29;34;68;34;34;69;36;33;64;30;34;66;31;35;63;26;37  
7;137;93;46;47;76;40;36;80;44;36;97;42;55;85;36;49;82;45;37;80;41;39  
7;138;84;39;45;76;31;45;75;40;35;96;37;59;77;32;45;90;44;46;80;38;42  
7;139;64;22;42;60;34;26;61;25;36;70;30;40;54;27;27;60;35;25;63;34;29  
7;140;102;48;54;103;53;50;86;36;50;92;52;40;97;52;45;95;51;44;105;51;54  
7;141;42;25;17;34;18;16;54;22;32;50;24;26;40;21;19;41;20;21;41;15;26  
7;142;78;39;39;68;40;28;77;33;44;69;35;34;74;29;45;77;32;45;81;31;50  
7;143;54;31;23;64;37;27;69;34;35;56;34;22;62;29;33;59;23;36;72;42;30  
7;144;50;18;32;50;21;29;56;23;33;66;28;38;44;16;28;48;18;30;57;22;35  
7;145;49;27;22;44;19;25;29;16;13;48;20;28;43;24;19;46;21;25;41;18;23  
7;146;42;19;23;22;15;7;21;10;11;25;13;12;35;18;17;30;16;14;27;18;9  
